Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Relationship_Status,Conflicts_Over_Social_Media,Unnamed: 11,Gender_num,Academic_Level_num,Country_num,Most_Used_Platform_num,Relationship_Status_num
1,20,Female,Undergraduate,Mexico,5.0,Twitter,0,6.0,Single,2.0,,0,0,0,0,0
2,26,Male,Graduate,Mexico,5.0,Facebook,1,6.0,In Relationship,3.0,,1,1,0,1,1
3,21,Male,Undergraduate,Mexico,5.0,Instagram,0,6.0,In Relationship,1.0,,1,0,0,2,1
4,20,Male,Undergraduate,Mexico,5.0,Instagram,0,6.0,In Relationship,2.0,,1,0,0,2,1
5,26,Female,High School,Mexico,5.0,Instagram,1,4.0,In Relationship,1.0,,0,2,0,2,1
6,24,Female,High School,Mexico,7.0,Facebook,1,4.0,Single,1.0,,0,2,0,1,0
7,26,Male,High School,Mexico,4.0,TikTok,1,7.0,In Relationship,1.0,,1,2,0,3,1
8,23,Male,Graduate,Mexico,5.0,Instagram,0,5.0,Single,1.0,,1,1,0,2,0
9,21,Male,Undergraduate,Mexico,4.0,TikTok,0,6.0,Single,1.0,,1,0,0,3,0
10,20,Male,Undergraduate,Mexico,7.0,Twitter,1,5.0,Single,3.0,,1,0,0,0,0
11,22,Female,Undergraduate,Mexico,3.0,YouTube,0,7.0,Single,1.0,,0,0,0,4,0
12,27,Female,Graduate,Mexico,4.0,Twitter,0,6.0,Single,1.0,,0,1,0,0,0
13,25,Female,Graduate,Mexico,3.0,YouTube,0,7.0,In Relationship,0.0,,0,1,0,4,1
14,22,Female,Undergraduate,Mexico,6.0,YouTube,1,5.0,In Relationship,3.0,,0,0,0,4,1
15,18,Male,High School,Mexico,4.0,TikTok,0,6.0,Single,0.0,,1,2,0,3,0
16,18,Male,High School,Mexico,5.0,Facebook,0,6.0,In Relationship,4.0,,1,2,0,1,1
17,20,Male,Undergraduate,Mexico,4.0,Instagram,0,6.0,Single,2.0,,1,0,0,2,0
18,18,Male,Undergraduate,Mexico,8.0,TikTok,1,5.0,In Relationship,1.0,,1,0,0,3,1
19,22,Male,Undergraduate,Mexico,5.0,TikTok,0,6.0,Complicated,0.0,,1,0,0,3,2
20,23,Male,Undergraduate,Mexico,7.0,Facebook,1,5.0,In Relationship,1.0,,1,0,0,1,1
21,24,Female,Graduate,Mexico,6.0,Instagram,1,8.0,Single,0.0,,0,1,0,2,0
22,20,Male,Undergraduate,Mexico,8.0,TikTok,0,7.0,Single,0.0,,1,0,0,3,0
